Time,Requested,Adjusted,Interactions,Engagement rate,Epoch time,MRAID,MobileWeb,DFP,Pandora,AdMarvel,Amazon,AdMob,Hotspot,Deck,Swipey,Picture,SwipeyGroup,Button,TwitterFeed,Video,null,WipeablePicture,View360,StoreLocator,RetailFeed,PannableGroup,FacebookShareButton,DraggableGroup,StoreLocator2,TwitterShareButton,Shapey,WhatsApp,TextBox
10:15,5787,5787,122,2.11%,1429179300,37,84,0,0,1,0,0,68,0,29,7,10,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0
10:30,6064,6071,117,1.93%,1429180200,53,62,1,2,1,1,1,86,1,2,9,7,5,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1
10:45,6643,6650,144,2.17%,1429181100,55,87,1,2,1,1,1,99,1,11,4,8,8,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1
11:00,6147,6152,134,2.18%,1429182000,57,76,1,1,1,1,0,90,1,10,9,4,5,1,4,12,1,1,1,1,1,1,1,1,0,1,1,0
11:15,7170,7182,177,2.46%,1429182900,117,58,1,1,1,1,0,100,5,3,9,9,13,1,3,13,1,1,1,1,1,0,14,1,0,1,1,0
11:30,7453,7469,179,2.40%,1429183800,80,97,1,1,1,0,0,125,1,15,10,3,13,1,3,8,1,1,1,1,1,0,1,1,0,1,1,0
11:45,7719,7738,211,2.73%,1429184700,72,135,1,1,1,0,0,127,1,15,10,6,7,1,8,14,2,1,1,1,15,0,1,1,0,0,0,0
12:00,6860,6868,210,3.06%,1429185600,106,100,1,2,1,0,0,145,1,5,13,6,21,1,13,2,2,1,1,1,1,0,1,1,0,0,0,0
12:15,7660,7672,204,2.66%,1429186500,83,114,1,3,1,0,0,131,1,5,21,2,19,1,6,8,6,1,1,1,1,0,1,1,0,0,0,0
12:30,7624,7644,197,2.58%,1429187400,65,130,1,2,1,0,0,132,1,9,15,2,15,1,4,8,6,1,1,1,2,0,1,0,0,0,0,0
12:45,7294,7300,148,2.03%,1429188300,60,80,1,3,2,0,0,109,1,5,7,4,9,0,4,2,8,1,1,1,1,0,1,0,0,0,0,0
13:00,6879,6893,176,2.55%,1429189200,76,96,1,3,1,0,0,113,1,21,12,1,8,0,5,12,4,1,1,1,1,0,1,0,0,0,0,0
13:15,7306,7324,179,2.44%,1429190100,70,102,1,2,4,0,0,123,1,5,12,3,8,0,1,12,2,1,1,1,1,0,1,0,0,0,0,0
13:30,7299,7309,200,2.74%,1429191000,79,115,1,6,1,0,0,127,1,7,15,9,12,0,6,8,7,0,1,1,1,0,1,0,0,0,0,0
13:45,6795,6805,207,3.04%,1429191900,64,141,1,2,1,0,0,111,9,24,6,1,12,0,6,6,4,0,1,1,19,0,1,0,0,0,0,0
14:00,6536,6556,233,3.55%,1429192800,91,138,1,1,1,0,0,139,3,5,8,3,3,0,10,7,8,0,1,1,18,0,23,0,0,0,0,0
14:15,7249,7276,217,2.98%,1429193700,91,111,0,2,13,0,0,143,1,2,16,1,16,0,4,20,2,0,1,1,13,0,1,0,0,0,0,0
14:30,7886,7909,231,2.92%,1429194600,124,100,0,3,2,0,0,139,5,8,11,1,11,0,2,7,10,0,1,1,3,0,30,0,0,0,0,0
14:45,7712,7724,243,3.15%,1429195500,95,146,0,2,1,0,0,148,1,38,10,6,10,0,2,3,1,0,10,1,1,0,2,0,0,0,0,0
15:00,7325,7338,194,2.64%,1429196400,85,97,0,10,1,0,0,135,1,6,14,2,10,0,5,13,6,0,1,1,1,0,1,0,0,0,0,0
15:15,8506,8517,206,2.42%,1429197300,70,129,0,6,1,0,0,147,3,7,9,4,5,0,2,8,14,0,1,1,1,0,1,0,0,0,0,0
15:30,8594,8639,258,2.99%,1429198200,125,123,0,7,1,0,0,131,1,22,53,6,3,0,7,11,3,0,1,1,4,0,15,0,0,0,0,0
15:45,7611,7635,196,2.57%,1429199100,76,111,0,9,1,0,0,140,1,10,12,5,8,0,3,9,7,0,1,1,1,0,1,0,0,0,0,0
16:00,7804,7817,178,2.28%,1429200000,66,105,0,5,1,0,0,128,1,5,9,3,8,0,6,16,1,0,1,1,1,0,1,0,0,0,0,0
16:15,8840,8863,276,3.11%,1429200900,103,162,0,8,3,0,0,187,8,15,13,14,8,0,8,11,6,0,1,1,2,0,1,0,0,0,0,0
16:30,7714,7727,222,2.87%,1429201800,70,141,0,9,1,0,0,153,2,5,24,18,6,0,2,9,1,0,1,1,1,0,1,0,0,0,0,0
16:45,7387,7402,242,3.27%,1429202700,97,130,0,12,2,0,0,162,7,6,10,11,4,0,4,14,2,0,1,1,1,0,15,0,0,0,0,0
17:00,7128,7147,223,3.12%,1429203600,79,115,0,25,4,0,0,143,1,2,13,15,6,0,1,38,1,0,1,0,1,0,1,0,0,0,0,0
17:15,9146,9191,284,3.09%,1429204500,106,166,0,9,2,0,0,182,6,22,13,26,8,0,1,20,1,0,1,0,1,0,1,0,0,0,0,0
17:30,8273,8283,280,3.38%,1429205400,97,137,0,45,1,0,0,177,6,2,7,24,6,0,3,49,1,0,1,0,1,0,1,0,0,0,0,0
17:45,8660,8689,336,3.87%,1429206300,98,193,0,42,3,0,0,223,1,5,22,11,8,0,10,43,8,0,1,0,1,0,1,0,0,0,0,0
18:00,10888,10911,331,3.03%,1429207200,104,203,0,22,2,0,0,207,10,36,20,1,8,0,2,29,1,0,1,0,2,0,11,0,0,0,0,0
18:15,9440,9467,298,3.15%,1429208100,127,162,0,7,2,0,0,226,2,3,19,1,13,0,5,20,2,0,1,0,1,0,1,0,0,0,0,0
18:30,10602,10618,361,3.40%,1429209000,151,173,0,36,1,0,0,239,1,2,38,4,13,0,4,52,5,0,1,0,1,0,1,0,0,0,0,0
18:45,8585,8598,264,3.07%,1429209900,109,144,0,10,1,0,0,201,1,7,18,4,14,0,6,9,5,0,0,0,1,0,1,0,0,0,0,0
19:00,8592,8622,297,3.44%,1429210800,123,163,0,8,1,0,0,206,1,10,20,4,10,0,20,22,3,0,0,0,1,0,1,0,0,0,0,0
19:15,9416,9441,318,3.37%,1429211700,129,180,0,6,1,0,0,208,1,9,30,1,7,0,12,17,6,0,0,0,1,0,10,0,0,0,0,0
19:30,8526,8545,303,3.55%,1429212600,128,162,0,10,1,0,0,210,3,3,25,2,15,0,9,17,1,0,0,0,1,0,13,0,0,0,0,0
19:45,9306,9349,321,3.43%,1429213500,114,169,0,38,0,0,0,214,1,4,30,2,10,0,7,44,7,0,0,0,1,0,0,0,0,0,0,0
20:00,8656,8671,277,3.19%,1429214400,93,161,0,21,0,0,0,198,1,9,18,5,11,0,3,10,2,0,0,0,12,0,0,0,0,0,0,0